errata_header,errata_text,question,answer,applies_to
"Big Mek, Shokk-boosta Ability","Change to: | ‘You can re‑roll Advance rolls made for this model’s unit. In addition, each time this model’s unit makes a Normal, Advance or Fall Back move, models in that unit can move through models and terrain features. When doing so, they can move within Engagement Range of such models but cannot end that move within Engagement Range of them, and any Desperate Escape test is automatically passed.’",,,datasheet: Big Mek
"Lord of Change, Ranged Weapons","■ Change the Bolt of Change profiles to: | **Bolt of Change - Witchfire** [PSYCHIC] | Range - 18"" | A - 9 | BS - 2+ | S - 9 | AP - -1 | D - 1 | **Bolt of Change - Focused Witchfire** [HAZARDOUS,PSYCHIC] | Range - 18"" | A - 9 | BS - 2+ | S - 9 | AP - -2 | D - 3 | ■ Change the rod of sorcery profile to: | **Rod of sorcery** [PSYCHIC] | Range - 18"" | A - 6 | BS - 2+ | S - 8 | AP - -1 | D - 2",,,datasheet: Lord of Change
"Razorshark Strike Fighter, Sun Shark Bomber",■ **Keywords**: Add 'FRAME'. | ■ **Profile**: Change **M** and **OC** to '-'.,,,datasheet: Razorshark Strike Fighter; datasheet: Sun Shark Bomber
"Hypersensory Scillia Stratagem, Target Section","Change 9"" to 8"".",,,stratagem
,,"While using the Wrath of the Rock Detachment, can I use the Charge move from the Leonine Aggression Stratagem to move a unit out of Engagement Range with another unit?",No.,detachment; stratagem
"Spearpoint Task Force Detachment, Hunter's Instincts Stratagem, Target Section","Change 9"" to: 8""",,,stratagem
"Slaughterbound, Melee Weapons, Lacerator and Daemonic Claw",Change **S** to '10'.,,,datasheet: Slaughterbound
,,"While using the Coterie of the Conceited Detachment, if my WARLORD is not on the battlefield, can I use the Unbound Arrogance Stratagem?","Yes, your pledge to Slaanesh would increase from 0 to 1.",stratagem
Krieg Heavy Weapons Squad,"■ **Ranged Weapons, laspistol**: Change Range characteristic to ‘12""’. | ■ **Final Duty ability**: Change to ‘While the Fire Coordinator model is on the battlefield, each time a Heavy Weapons Gunner model is destroyed, roll one D6: on a 3+, do not remove it from play. The destroyed model can shoot after the attacking model’s unit has finished making its attacks, and is then removed from play.’",,,datasheet: Krieg Heavy Weapons Squad
Ironstrider Ballistarii,■ **Twin cognis autocannon**: Change **A** to '4'. | ■ **Twin cognis lascannon**: Change **A** to '2' .,,,datasheet: Ironstrider Ballistarii
,,"When an **ADEPTA SORORITAS** unit from my army is destroyed, if that unit was within 12"" of a friendly Imagifier when it was destroyed, does that Imagifier’s Litany of Deeds ability allow me to re‑roll the result of the Miracle dice I gain as a result of the Acts of Faith army rule?",Yes.,datasheet: Imagifier
Corsair Voidreavers,"■ **Faction Abilities**: Add 'Battle Focus'. | ■ **Wargear Options, third bullet point**: Change to 'Any number of **Corsair Voidreavers** in this unit can each have their shuriken pistol and power sword replaced with 1 shuriken rifle.'",,,datasheet: Corsair Voidreavers
"Transcendent C'tan, Transdimensional Displacement Ability","Change 9"" to 8"".",,,datasheet: Transcendent C’tan
,,Does using the Insane Bravery Stratagem on a **LEGIONES DAEMONICA** unit mean that unit is considered to have made a battle-shock roll?,"Yes, it is considered to have made a successful battle-shock roll.",stratagem
,,Can a unit be affected by a Resurrection Orb (e.g. from a Catacomb Command Barge and an Overlord) more than once per turn?,No.,datasheet: Catacomb Command Barge; datasheet: Lokhust Lord; datasheet: Overlord; datasheet: Overlord with Translocation Shroud
"Stormlance Task Force Detachment, Wind-swift Evasion Stratagem, Target Section","Change to: | ‘One **ADEPTUS ASTARTES INFANTRY** or **ADEPTUS ASTARTES MOUNTED** unit from your army that is within 8"" of that enemy unit.'",,,stratagem
"Blitza-Bommer, Boom Bomb ability","Change to: | 'At the end of your opponent’s Fight phase, select one visible enemy unit (excluding Lone Operative units) within 24"" of this unit, and roll one D6 for that unit: On a 4+, that unit suffers D6 mortal wounds.'",,,datasheet: Blitza-bommer
"Maulerfiend, Snarling Protector Ability","Change to: | ' | - You can target this unit with the Heroic Intervention **stratagem**, regardless of any other uses of that stratagem this phase. If you do: | - That use is -1 CP. | - That use does not prevent any uses of that **stratagem** on other units this phase. | - When this unit declares a charge, If a friendly engaged **PSYKER** unit is within 12"" of this unit, you can use this part of this ability. If you do: | - This unit can re-roll that **charge roll**. | - This unit must end that **charge move engaged** with an enemy unit **engaged** with that friendly **PSYKER** unit.",,,datasheet: Maulerfiend
,,Can I use the Summoned by Slaughter Stratagem to deploy Bloodletters in the first battle round?,Bloodletter units that started the battle in Reserves cannot deploy in the first battle round using the Summoned by Slaughter Stratagem. Bloodletter units that started the battle on the battlefield and have subsequently been placed into Strategic Reserves can deploy in the first battle round.,stratagem
"Devilfish, Hammerhead Gunship, Piranhas, Razorshark Strike Fighter, Sky Ray Gunship, Sun Shark Bomber, Tidewall Droneport, Tidewall Gunrig, Tidewall Shieldline – Keywords Section",Add 'FRAME'.,,,datasheet: Devilfish; datasheet: Hammerhead Gunship; datasheet: Piranhas; datasheet: Razorshark Strike Fighter; datasheet: Sky Ray Gunship; datasheet: Sun Shark Bomber; datasheet: Tidewall Droneport; datasheet: Tidewall Gunrig; datasheet: Tidewall Shieldline
"Biovores, Seed Spore Mine Ability","Change 9"" to 8"".",,,datasheet: Biovores
,,"Can the same enemy unit be affected by Noise Marines’ Terrifying Crescendo ability more than once, for multiple subtractions to its Battle-shock and Leadership tests?",Yes.,datasheet: Noise Marines
"Lord Solar Leontus, Orders Section",Change to: | ‘This **OFFICER** can issue up to 3 Orders to: | ■ **REGIMENT** units | ■ **SQUADRON** units | ■ **TITANIC** units’,,,datasheet: Lord Solar Leontus
"Serberys Raiders, Tactica Obliqua Ability","Change to: | 'In your opponent's Movement phase, if an enemy unit ends a move within 8” of this unit, if this unit is not within Engagement Range of one or more enemy units, it can do one of the following: | ■ Make a Normal move of up to D6"" | ■ Make a Normal move of up to 6"" provided every model in this unit ends that move wholly within 6"" of one or more friendly ADEPTUS MECHANICUS BATTLELINE units.'",,,datasheet: Serberys Raiders
,,"If a Character with the Saintly Example Enhancement is destroyed while within 12"" of a friendly Imagifier, can I use that Imagifier’s Litany of Deeds ability to re‑roll the results of the additional D3 Miracle dice I gain from that Enhancement, before adding them to my Miracle Dice pool?",Yes.,enhancement
"Falcon, Transport Section","Change to: | 'This model has a transport capacity of 6 **AELDARI INFANTRY** models. Each **WRAITH CONSTRUCT** model takes the space of 2 models. It cannot transport **JUMP PACK** models or **YNNARI** models (excluding **ASURYANI**, **YVRAINE** and **THE VISARCH** models).'",,,datasheet: Falcon
"Biophagus, Unit Composition, Wargear",Change to: | ‘**This model is equipped with**: autopistol; chemical vials; injector goad; alchemicus familiar.’,,,datasheet: Biophagus
"Acolyte Hybrids with Hand Flamers, Ranged Weapons","Change the Range characteristic of demolition charges to ‘8""’.",,,datasheet: Acolyte Hybrids with Hand Flamers
Militarum Tempestus Command Squad,■ **Faction Abilities**: Add ‘Voice of Command’. | ■ **Keywords**: Remove ‘**REGIMENT**’.,,,datasheet: Militarum Tempestus Command Squad
,,"If Angron is destroyed and I use his Reborn in Blood ability, can I still use the Wrath of Khorne Detachment ability for the Vessels of Wrath Detachment?",Yes.,datasheet: Angron
Boss Snikrot,"■ **Red Skulls Kommandos ability**: Change to 'This unit has +1 **Sv** against ranged attacks.' | ■ **Kunnin' Infiltrator ability**: Change to '**Kunnin' Infiltrator (Once per battle, per army)**: In your Movement phase, if this unit is **unengaged**, you can use this ability. If you do: | - Place this unit in **strategic reserves**. | - This unit has **Deep Strike** until the end of the phase. | '",,,datasheet: Boss Snikrot
"Vanguard Spearhead Detachment, Shadow Masters Detachment Rule","Change to: | 'Each time a ranged attack targets an **ADEPTUS ASTARTES** unit from your army, unless the attacking model is within 12"", the target has the benefit of cover.'",,,detachment
"Screamers, Profile",Change **Ld** to 7+.,,,datasheet: Screamers
,,Can a Cryptothrall that has used its Systematic Vigour ability to ‘fight on death’ later fight again if returned to its unit before that unit is selected to fight?,Yes.,datasheet: Cryptothralls
"Sun Shark Bomber, Pulse Bombs Ability","Change to: | 'At the end of your opponent’s Fight phase, select one visible enemy unit (excluding Lone Operative units) within 24"" of this unit, and roll six D6 for that unit: For each 4+, that unit suffers 1 mortal wound.'",,,datasheet: Sun Shark Bomber
"Broodlord, Parasite of Mortrex",■ **Abilities Section:** Add ‘FACTION: Shadow in the Warp’ | ■ **Keywords Section:** Add 'SYNAPSE'.,,,datasheet: Broodlord; datasheet: Parasite of Mortrex
"Sicarian Infiltrators, Melee Weapons",■ **Power weapon**: Change **A** to '4'. | ■ **Taser goad**: Change **A** to '3' and **AP** to '-1'.,,,datasheet: Sicarian Infiltrators
"Rangers, Path of the Outcast Ability","Change to: | 'In your opponent's Movement phase, if an enemy unit ends a move within 8” of this unit, if this unit is not within Engagement Range of one or more enemy units, this unit can make a Normal move of up to D6”.'",,,datasheet: Rangers
Ogryn Bodyguard,■ **Loyal Protector section**: Add ‘This model cannot be selected as your **WARLORD** and cannot be given Enhancements.’ | ■ **Keywords**: Add ‘**CHARACTER**’.,,,datasheet: Ogryn Bodyguard
"Acolyte Iconward, Summon the Cult Ability","Change 9"" to 8"".",,,datasheet: Acolyte Iconward
,,"When using the Protocol of the Undying Legions Stratagem, are any other rules that are applicable to Reanimation Protocols applied (e.g. Necron Warriors’ Their Number is Legion ability)?",Yes.,stratagem
"Vanguard Spearhead Detachment, Calculated Feint Stratagem, Target Section","Change to: | ‘**TARGET**: One friendly **ADEPTUS ASTARTES INFANTRY** unit within 12"" of that enemy unit.’",,,stratagem
,,"While using the Khorne Daemonkin Detachment, can I select a **CHARACTER** with the Disciple of Khorne Enhancement to be my **WARLORD**?",No.,detachment
"Sekhetar Robots, Prophetic Sentinels Ability","Change to: | 'Once per turn, when you target this unit with the **Fire Overwatch**/**Heroic Intervention stratagem**, that use is -1 CP.'",,,datasheet: Sekhetar Robots
"Boyz, Bodyguard Section","Change to: | 'If this unit has a Starting Strength of 20, you can attach up to two Leader units to it instead of one (but only if one of those is a **WARBOSS** unit). If you do, and this unit is destroyed, the Leader units attached to it become separate units with their original Starting Strengths.'",,,datasheet: Boyz
,,"If I am using the Kroot Hunting Pack Detachment, if an enemy unit selects a **KROOT** unit from my army as a target of its ranged attacks, but I use the Hidden Hunters Stratagem so that my **KROOT** unit is no longer an eligible target for any of those attacks, and there are no other eligible targets for those attacks (as described in the Rules Commentary), can my nearby **KROOTOX RIDERS** unit still use its Kroot Packmates ability to shoot at that attacking unit?",No.,stratagem
"Carnifexes, Blistering Assault Ability","Change to: | 'In your opponent’s Shooting phase, when an enemy unit has shot, if a model in this unit lost a wound as a result of those attacks, this unit can make a **surge move** of up to D6+2"".'",,,datasheet: Carnifexes
